City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Ilulissat,GL,69.2167,-51.1,17.62,49,75,0.0,broken clouds
80,Nantucket,US,41.2835,-70.0995,45.14,79,87,19.95,overcast clouds
81,Christchurch,NZ,-43.5333,172.6333,73.6,43,47,12.66,scattered clouds
82,Airai,TL,-8.9266,125.4092,72.77,67,85,4.21,overcast clouds
83,Kampene,CD,-3.6,26.6667,66.24,100,100,0.51,moderate rain
84,Sur,OM,22.5667,59.5289,75.45,57,0,2.19,clear sky
85,Bambous Virieux,MU,-20.3428,57.7575,77.22,72,69,2.46,broken clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,33,3.0,scattered clouds
87,Yellowknife,CA,62.456,-114.3525,-20.43,92,100,9.48,overcast clouds
88,Filingue,NE,14.3521,3.3168,71.35,17,84,8.41,broken clouds
89,Jiujiang,CN,29.7333,115.9833,55.62,76,100,16.2,overcast clouds
90,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
91,Broken Hill,AU,-31.95,141.4333,72.01,30,0,13.91,clear sky
92,Talnakh,RU,69.4865,88.3972,-7.96,99,100,7.67,overcast clouds
93,Cape Town,ZA,-33.9258,18.4232,75.11,68,100,5.01,overcast clouds
94,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,19,4.92,few clouds
95,Chapais,CA,49.7834,-74.8492,17.38,100,94,2.71,overcast clouds
96,Port Augusta,AU,-32.5,137.7667,73.26,35,0,14.99,clear sky
97,Ampanihy,MG,-24.7,44.75,71.65,79,93,3.33,overcast clouds
98,Half Moon Bay,US,37.4636,-122.4286,53.31,76,0,21.85,clear sky
99,Marion,US,39.7684,-86.1555,45.28,87,100,6.91,overcast clouds
100,Weymouth,US,42.2209,-70.9398,41.29,71,0,10.36,clear sky
101,Lebu,CL,-37.6167,-73.65,56.32,89,99,13.31,overcast clouds
102,Cascavel,BR,-24.9558,-53.4553,59.85,90,3,7.47,clear sky
103,Chokurdakh,RU,70.6333,147.9167,-24.27,97,100,6.4,overcast clouds
104,Kuching,MY,1.55,110.3333,88.02,75,40,0.0,scattered clouds
105,Khatanga,RU,71.9667,102.5,-4.14,96,100,13.44,overcast clouds
106,Ancud,CL,-41.8697,-73.8203,53.55,94,1,6.62,clear sky
107,Gravdal,NO,68.1214,13.5031,41.52,73,100,10.56,light rain
108,Lata,PT,40.1629,-8.3327,43.07,92,100,3.91,overcast clouds
109,Bozova,TR,37.3625,38.5267,49.12,75,100,4.45,overcast clouds
110,Waipawa,NZ,-41.4122,175.5153,63.45,56,100,17.34,light rain
111,Andradina,BR,-20.8961,-51.3794,68.31,82,79,3.78,broken clouds
112,Uporovo,RU,56.3109,66.2693,-0.78,87,45,5.35,scattered clouds
113,Tutoia,BR,-2.7619,-42.2744,77.45,86,100,9.78,overcast clouds
114,Ascension,US,30.2169,-90.9001,63.07,75,0,0.0,clear sky
115,Taber,CA,49.8167,-112.1518,10.24,83,100,15.17,overcast clouds
116,Hobart,AU,-42.8794,147.3294,64.06,47,75,9.22,broken clouds
117,Luderitz,NA,-26.6481,15.1594,58.46,91,2,2.06,clear sky
118,Mount Isa,AU,-20.7333,139.5,89.37,18,100,12.66,overcast clouds
119,Kaili,ID,-3.4626,120.2147,75.34,79,100,1.59,overcast clouds
120,Alice Springs,AU,-23.7,133.8833,80.15,24,0,14.97,clear sky
121,Troitskoye,RU,52.9821,84.6757,-12.06,91,85,3.91,overcast clouds
122,Kruisfontein,ZA,-34.0033,24.7314,58.3,93,57,5.14,broken clouds
123,Hovd,MN,48.0056,91.6419,-1.5,38,0,1.45,clear sky
124,Mahebourg,MU,-20.4081,57.7,77.25,72,63,2.37,broken clouds
125,Camacha,PT,33.0833,-16.3333,63.82,63,40,13.8,scattered clouds
126,Qarayeri,AZ,40.7886,46.3066,49.08,93,100,0.0,overcast clouds
127,Ishigaki,JP,24.3448,124.1572,78.64,83,9,11.72,clear sky
128,Kisangani,CD,0.5167,25.2,65.66,93,81,1.5,broken clouds
129,Goundam,ML,16.4145,-3.6708,71.2,16,82,7.09,broken clouds
130,Thompson,CA,55.7435,-97.8558,15.98,92,100,15.57,light snow
131,Saldanha,ZA,-33.0117,17.9442,61.11,92,100,12.5,overcast clouds
132,Bakchar,RU,57.0186,82.0711,-11.38,91,66,5.86,broken clouds
