City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
606,San Juan,AR,82.15,-31.5375,-68.5364,overcast clouds,Hotel Provincial
607,Tual,ID,83.75,-5.6667,132.75,light rain,Grand Vilia Hotel
609,Lashio,MM,73.18,22.9333,97.75,clear sky,Hotel CF Lashio - Burmese Only
611,Phan Thiet,VN,83.95,10.9333,108.1,few clouds,Hotel Saigon-PT
612,Khargone,IN,68.04,21.8167,75.6,clear sky,SPOT ON 63187 Vallabha Hotel
613,Thinadhoo,MV,80.85,0.5333,72.9333,overcast clouds,
616,Aswan,EG,65.8,24.0934,32.907,clear sky,Nuba Nile
617,Ikwiriri,TZ,74.5,-7.9562,38.9716,light rain,Greenland lodge
618,Hobyo,SO,80.71,5.3505,48.5268,overcast clouds,Halane Hotel and Restaurent
619,Garowe,SO,68.23,8.4054,48.4845,scattered clouds,Sacaada Hotel
620,Vila Velha,BR,73.35,-20.3297,-40.2925,overcast clouds,Hotel Vitória Palace
621,Denpasar,ID,78.46,-8.65,115.2167,broken clouds,OYO 3156 Hotel Warta Dua
622,Sechura,PE,67.14,-5.5569,-80.8222,few clouds,Hospedaje Costa Bella
623,Houston,US,65.3,29.7633,-95.3633,overcast clouds,"Hotel ICON, Autograph Collection"
627,Pativilca,PE,67.75,-10.7,-77.7833,overcast clouds,HOSTAL PATIVILCA
631,Kudahuvadhoo,MV,80.31,2.6708,72.8944,broken clouds,Niyama Private Islands Maldives
632,Ankpa,NG,71.56,7.3706,7.6253,few clouds,AA Suites
634,Grand-Santi,GF,73.31,4.25,-54.3833,overcast clouds,Hotel La Villa Couacou
638,Candido Mendes,BR,75.07,-1.4467,-45.7167,overcast clouds,Quebrada Do Mlk PJL
641,Salalah,OM,68.09,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
642,Cagdianao,PH,81.97,9.9211,125.6692,scattered clouds,Higayon's Boarding House
644,Kainantu,PG,72.41,-6.2887,145.8655,overcast clouds,Sylvester buku
645,Launceston,AU,66.61,-41.45,147.1667,scattered clouds,Hotel Grand Chancellor Launceston
650,Zhangzhou,CN,82.33,24.5133,117.6556,few clouds,Crowne Plaza Zhangzhou
651,Junagadh,IN,71.13,21.5167,70.4667,clear sky,"Click Hotel, Junagadh"
652,Grand Gaube,MU,78.39,-20.0064,57.6608,few clouds,Veranda Paul et Virginie Hotel & Spa
653,Kattivakkam,IN,80.69,13.2167,80.3167,clear sky,Euronova Freezer
655,Moron,AR,80.49,-34.6534,-58.6198,overcast clouds,Hotel Morón
656,Iquitos,PE,75.24,-3.7481,-73.2472,scattered clouds,Cortez Malaga Techy Caroly
661,Bubaque,GW,80.37,11.2833,-15.8333,clear sky,"Casa Dora, Bubaque"
662,Touros,BR,76.93,-5.1989,-35.4608,broken clouds,INN NEW HORIZON
671,Kpandu,GH,76.05,6.9954,0.2931,broken clouds,Emo House
683,Tamandare,BR,77.02,-8.7597,-35.1047,light rain,Pousada 100 Passos
685,Marawi,PH,82.63,7.9986,124.2928,overcast clouds,Derogongan Residence
686,Sinnamary,GF,76.75,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
687,Port Macquarie,AU,75.88,-31.4333,152.9167,clear sky,Rydges Port Macquarie
690,Jiangmen,CN,82.98,22.5833,113.0833,few clouds,Palace International Hotel
693,La Primavera,CO,73.49,5.4906,-70.4092,overcast clouds,La Riviera Hotel Colonial
695,Kindu,CD,65.59,-2.95,25.95,overcast clouds,Résidence Okanda
696,Kupang,ID,84.78,-10.1667,123.5833,broken clouds,Hotel On The Rock by Prasanthi
